Fiat Doblo Cargo,161,13521,10.4,1000
Citroen Berlingo,161,17690,5.7,727
Volkswagen Caddy Kasten,172,20090,9.2,745
Peugeot Expert Fourgon,145,22704,6,1200
Mercedes Citan Furgon (W415),150,22960,7.2,750
Citroen Jumper VU,150,26800,9.2,1525
Ford Transit,135,31775,10.1,900
